Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Screen_Time_Per_Day,Physical_Activity_Hours,Attendance_Percentage,Healthy_Eating_Score,Academic_Performance
S02065,3.4,7.8,7.6,1.6,94.8,4,45.8
S02066,2.1,7.2,7.0,1.1,78.5,8,40.1
S02067,0.0,7.4,4.3,0.6,80.0,9,28.7
S02068,2.8,6.6,1.0,0.9,82.9,8,40.1
S02069,5.1,7.6,6.2,0.7,81.0,6,60.7
S02070,4.4,8.8,4.7,0.7,71.9,2,66.0
S02071,4.4,7.8,3.0,0.4,83.3,8,72.7
S02072,4.9,8.0,3.9,0.5,93.4,4,66.0
S02073,3.1,7.4,7.9,1.4,72.0,1,51.5
S02074,3.3,5.2,2.7,1.2,86.8,5,37.7
S02075,2.1,5.7,5.9,0.7,86.5,3,27.7
S02076,2.5,7.5,5.4,0.5,82.0,3,25.1
S02077,3.9,7.0,4.3,0.8,90.0,7,60.9
S02078,4.8,7.5,6.3,0.2,89.0,1,52.2
S02079,2.8,9.0,8.3,1.1,81.3,3,49.0
S02080,2.3,7.9,4.4,1.5,95.6,10,56.7
S02081,3.0,8.5,4.5,2.2,90.6,6,64.7
S02082,3.9,7.1,6.2,0.4,100.0,8,44.5
S02083,0.8,6.0,6.8,1.5,84.3,6,21.4
S02084,0.0,6.9,4.7,0.6,81.8,4,24.4
S02085,2.2,6.0,4.4,0.4,82.9,8,28.5
S02086,1.2,8.9,1.0,0.4,96.8,10,52.4
S02087,2.2,7.9,3.4,1.1,83.5,5,58.0
S02088,2.8,7.6,2.7,0.5,84.1,10,34.3
S02089,2.3,8.5,6.4,0.7,100.0,6,41.8
S02090,5.2,4.6,4.5,0.8,71.6,1,36.3
S02091,3.5,7.7,4.4,0.6,88.6,4,44.1
S02092,3.5,5.4,5.0,0.6,84.4,4,37.7
S02093,3.9,7.0,3.3,0.0,82.5,5,64.4
S02094,1.3,6.6,8.1,1.0,75.5,1,44.0
S02095,4.6,7.8,7.6,1.0,78.4,4,59.9
S02096,2.9,7.3,8.2,0.6,80.9,7,41.2
S02097,4.0,8.6,6.4,1.2,90.0,6,57.3
S02098,1.4,6.3,4.9,1.7,93.5,10,44.4
S02099,0.7,7.9,8.2,1.0,67.2,5,37.5
S02100,4.2,7.2,3.6,1.7,73.0,1,62.4
S02101,3.6,5.0,3.3,2.1,90.5,8,57.7
S02102,1.6,5.9,3.8,2.3,91.3,5,33.0
S02103,1.7,6.8,6.0,0.4,70.4,8,33.5
S02104,4.7,8.3,3.5,0.4,93.7,6,69.9
S02105,1.2,7.6,4.7,0.8,84.9,7,34.5
S02106,5.5,5.6,1.8,1.1,92.5,10,83.7
S02107,1.6,6.8,6.0,1.8,76.5,10,44.2
S02108,4.0,9.4,2.0,1.3,71.1,1,62.1
S02109,2.5,7.1,3.1,0.4,81.9,6,62.4
S02110,3.9,6.6,7.4,0.7,82.4,3,51.6
S02111,2.2,7.6,7.4,1.0,81.8,3,32.1
S02112,2.8,7.9,5.7,0.3,81.1,3,47.3
S02113,3.1,6.5,5.6,1.0,100.0,6,37.0
S02114,1.5,7.6,3.9,0.4,68.0,8,45.0
S02115,4.1,6.6,3.5,0.2,76.6,3,41.6
S02116,2.2,7.9,4.3,0.5,80.8,3,46.3
S02117,2.7,7.2,2.0,1.2,85.2,5,50.8
S02118,1.5,7.6,5.5,1.2,92.1,6,44.2
S02119,0.0,6.1,5.1,1.0,93.7,6,32.0
S02120,2.7,6.0,3.1,1.5,95.8,7,51.8
S02121,6.6,8.1,8.1,1.4,89.8,7,67.9
S02122,4.2,6.9,6.2,1.1,67.7,3,40.1
S02123,3.0,7.3,6.4,1.0,68.4,5,46.1
S02124,2.6,6.6,4.0,1.1,96.5,1,41.4
S02125,3.0,8.1,5.0,0.9,95.8,1,64.9
S02126,3.8,6.3,6.3,0.0,91.4,2,50.1
S02127,1.2,6.8,5.3,1.6,76.8,2,18.8
S02128,4.7,7.9,8.2,1.2,81.8,7,56.1
S02129,4.1,8.4,4.6,0.4,81.0,5,80.2
S02130,4.1,6.4,4.0,1.7,74.8,3,44.1
S02131,3.7,9.4,6.3,0.7,87.6,7,62.1
S02132,3.0,7.4,2.5,0.9,100.0,3,48.5
S02133,4.0,5.7,6.8,1.5,80.0,3,59.2
S02134,3.9,7.4,2.4,1.1,98.0,4,52.0
S02135,2.5,6.5,6.3,1.7,76.1,5,39.0
S02136,2.1,7.5,3.7,0.8,69.6,8,51.0
S02137,3.2,6.9,6.0,1.8,94.9,9,35.2
S02138,5.3,7.1,6.8,0.6,82.8,5,53.9
S02139,1.1,5.9,5.3,1.7,97.7,8,38.2
S02140,0.8,8.2,2.6,0.0,99.7,3,19.8
S02141,3.2,5.6,3.2,0.4,82.2,7,52.7
S02142,3.1,5.7,3.5,1.1,98.4,3,34.5
S02143,3.3,7.4,1.2,0.8,76.2,10,45.7
S02144,3.4,8.9,7.3,1.0,76.1,3,62.6
S02145,2.7,6.6,5.2,1.0,95.7,4,37.3
S02146,5.2,7.8,2.7,0.4,69.5,2,47.2
S02147,0.6,8.3,7.9,0.4,85.0,7,33.5
S02148,1.8,8.0,3.6,1.1,97.5,6,56.4
S02149,2.8,6.6,5.5,0.7,98.2,3,34.4
S02150,0.5,5.7,3.3,1.7,80.7,1,33.7
S02151,2.7,4.4,1.0,0.9,95.1,10,43.5
S02152,5.5,6.7,2.3,1.4,73.8,3,54.4
S02153,3.0,8.4,4.1,1.2,78.3,4,45.0
S02154,3.3,5.7,6.8,0.7,87.3,10,46.0
S02155,1.1,7.8,5.7,0.0,88.8,1,42.6
S02156,2.1,5.9,5.3,1.6,74.5,8,38.7
S02157,2.4,7.1,1.0,0.5,100.0,2,22.3
S02158,2.5,7.8,7.5,0.8,66.2,3,58.5
S02159,4.9,6.2,5.4,0.9,85.5,5,69.1
S02160,3.8,7.2,4.8,1.0,87.0,9,59.8
S02161,1.3,6.5,7.3,1.5,67.5,6,21.1
S02162,3.4,7.8,7.5,1.0,98.2,3,35.2
S02163,3.7,7.3,7.3,0.9,77.6,3,45.7
S02164,4.7,7.1,4.5,1.5,86.0,8,52.9
S02165,5.4,8.9,3.0,1.3,88.3,4,82.1
S02166,1.5,7.8,7.0,0.6,70.5,5,45.2
S02167,1.8,6.2,2.3,0.4,74.3,4,25.9
S02168,1.1,6.9,8.9,0.6,100.0,9,39.5
S02169,2.6,6.9,5.1,1.0,84.3,8,41.8
S02170,3.7,7.1,2.9,0.4,58.0,7,46.4
S02171,4.5,10.0,2.5,1.0,82.0,4,69.9
S02172,2.9,7.4,2.4,0.9,84.7,9,41.4
S02173,2.5,4.6,5.3,0.0,87.2,8,44.2
S02174,3.2,6.3,5.0,0.3,65.0,8,41.7
S02175,1.7,4.7,2.5,0.0,84.7,10,44.3
S02176,6.1,6.6,4.3,0.8,76.7,2,72.4
S02177,0.6,4.6,2.3,1.5,87.2,5,24.6
S02178,3.3,6.0,6.2,0.1,90.1,6,41.7
S02179,6.0,5.2,4.9,0.3,89.0,6,48.6
S02180,3.0,7.5,4.2,0.9,99.0,9,63.0
S02181,2.7,7.0,2.4,0.5,100.0,4,44.2
S02182,2.5,7.4,4.4,0.5,73.7,7,51.3
S02183,2.7,6.9,4.2,1.3,81.2,9,56.3
S02184,5.1,5.3,5.6,0.8,92.4,5,65.9
S02185,0.0,7.6,5.3,0.3,83.7,6,40.0
S02186,5.3,9.3,6.6,0.0,57.8,1,58.6
S02187,0.9,7.5,4.0,2.1,83.1,7,54.3
S02188,2.6,6.5,1.3,1.6,97.3,5,60.7
S02189,2.4,5.3,7.0,0.8,71.1,4,18.3
S02190,3.9,5.9,3.1,1.0,87.2,3,60.8
S02191,0.6,7.5,2.8,0.8,65.9,1,41.1
S02192,3.7,8.3,4.9,1.3,93.7,5,55.0
S02193,6.0,7.3,5.6,0.6,87.4,3,61.1
S02194,1.0,8.0,3.9,0.7,79.3,8,40.3
S02195,3.3,7.8,3.9,1.2,80.8,4,49.7
S02196,2.0,7.6,4.2,1.7,70.0,3,48.7
S02197,3.6,6.2,7.8,1.4,95.1,1,51.9
S02198,3.0,7.2,5.0,1.6,77.0,10,38.9
S02199,2.0,6.0,3.1,0.8,90.0,2,22.1
S02200,3.7,7.0,3.1,0.7,75.4,10,54.3
S02201,5.7,7.4,4.5,0.0,100.0,2,71.6
S02202,2.7,9.0,5.5,1.0,100.0,1,57.7
S02203,4.1,5.4,6.0,1.2,100.0,8,41.7
S02204,1.1,7.6,5.2,0.8,100.0,5,35.3
S02205,1.6,8.8,3.3,0.6,78.7,2,28.9
S02206,3.7,7.9,4.2,1.6,76.2,8,69.3
S02207,5.2,8.0,6.5,1.3,100.0,10,57.5
S02208,3.5,7.7,2.7,1.7,83.6,5,58.6
S02209,2.5,8.6,4.1,0.5,93.3,10,48.8
S02210,3.0,5.7,6.2,0.6,78.8,5,30.1
S02211,1.1,5.3,6.8,1.6,79.0,2,20.6
S02212,3.9,7.0,4.6,1.0,93.3,8,48.5
S02213,4.3,4.4,4.2,0.7,65.3,3,37.6
S02214,2.3,8.5,2.4,0.8,92.8,4,59.3
S02215,2.3,8.5,6.1,1.0,90.2,5,53.1
S02216,3.4,6.5,7.6,1.5,79.7,10,41.1
S02217,2.3,6.6,10.1,0.9,85.2,9,33.0
S02218,2.9,6.9,5.8,1.4,86.8,2,58.1
S02219,6.1,7.1,4.9,1.2,87.4,8,50.5
S02220,2.6,7.2,3.2,0.6,91.9,5,62.1
S02221,2.5,7.7,1.2,0.6,76.9,9,68.1
S02222,2.0,6.8,5.4,0.8,100.0,9,47.5
S02223,4.1,8.1,9.7,0.3,82.9,10,51.5
S02224,2.7,7.5,7.5,0.7,83.7,3,44.9
S02225,2.0,6.3,7.2,1.8,100.0,9,22.9
S02226,5.0,8.6,5.5,1.0,66.7,7,67.9
S02227,5.1,5.4,5.7,0.6,100.0,9,61.7
S02228,2.1,6.9,1.0,2.0,85.9,7,38.9
S02229,0.2,8.2,6.5,0.5,79.7,8,22.2
S02230,4.5,6.1,3.8,0.5,73.8,4,65.9
S02231,2.0,7.4,3.6,1.6,72.3,5,43.2
S02232,4.2,7.7,4.4,1.3,81.6,6,66.0
S02233,0.0,6.0,4.3,0.9,87.8,4,17.4
S02234,4.3,6.9,3.6,1.4,91.2,8,63.7
S02235,1.2,6.8,5.0,1.2,87.7,5,42.0
S02236,4.1,6.3,3.9,0.4,79.9,3,30.7
S02237,3.0,9.8,5.2,0.0,98.4,1,61.6
S02238,1.6,6.1,2.0,0.7,100.0,1,34.8
S02239,2.4,8.2,4.6,1.5,99.9,8,53.4
S02240,4.0,6.5,2.8,0.8,81.4,3,51.0
S02241,3.2,5.7,3.7,1.2,90.0,10,55.7
S02242,3.9,7.1,5.3,1.1,90.7,4,61.9
S02243,6.0,7.8,1.8,0.2,100.0,7,85.1
S02244,0.7,8.1,3.4,0.8,81.6,1,51.2
S02245,5.4,8.9,6.1,1.2,75.4,6,75.1
S02246,3.2,10.0,2.2,0.6,96.3,1,61.6
S02247,1.7,7.3,8.6,0.8,89.1,3,31.1
S02248,1.0,6.2,7.4,1.2,73.9,4,22.8
S02249,2.7,7.5,4.0,1.0,92.1,7,42.0
S02250,4.4,6.7,3.4,1.5,100.0,2,42.3
S02251,2.8,8.1,5.4,1.2,78.1,8,54.9
S02252,5.3,5.4,2.1,0.5,76.1,6,57.4
S02253,0.8,9.8,1.0,0.8,85.3,10,54.2
S02254,3.0,8.0,4.1,1.0,91.8,2,58.0
S02255,1.1,5.0,4.7,1.7,84.3,3,29.9
S02256,3.5,6.1,5.2,0.8,96.3,4,41.8
S02257,4.3,8.0,3.8,0.1,87.6,6,56.4
S02258,2.4,8.4,7.5,1.2,95.1,1,37.9
S02259,0.0,5.5,2.0,0.6,77.8,5,37.9
S02260,3.3,7.9,2.7,0.4,72.7,8,42.0
S02261,3.7,4.7,6.0,1.0,81.6,7,44.1
S02262,3.6,6.9,2.7,1.5,71.5,3,54.7
S02263,4.9,8.3,2.6,0.7,89.1,2,52.7
S02264,1.4,6.3,5.2,1.2,64.8,2,31.5
S02265,4.0,5.2,2.9,1.3,80.5,10,56.4
S02266,4.8,7.2,4.7,1.4,82.1,5,56.6
S02267,0.3,6.3,3.6,0.6,74.5,8,23.2
S02268,3.5,7.8,3.3,0.4,81.9,6,54.8
S02269,2.2,5.9,1.0,0.5,85.0,6,30.9
S02270,2.9,6.1,5.3,1.4,97.7,7,38.1
S02271,3.5,4.6,2.5,1.3,74.6,1,33.5
S02272,2.3,7.2,4.7,0.5,88.6,3,44.8
S02273,2.0,6.8,4.0,2.1,90.6,5,54.2
S02274,3.1,5.6,4.6,0.5,84.8,7,45.8
S02275,1.4,7.2,4.7,1.5,80.0,6,55.6
S02276,1.4,8.2,5.4,1.8,73.6,1,51.2
S02277,4.0,6.7,3.5,1.1,100.0,9,46.9
S02278,1.3,7.3,7.5,0.6,85.7,3,30.1
S02279,4.0,7.3,1.3,0.6,81.8,7,63.3
S02280,3.7,5.6,4.5,0.9,100.0,1,38.7
S02281,0.4,9.5,6.7,1.5,87.2,1,42.5
S02282,2.0,6.4,6.0,0.4,100.0,1,39.0
S02283,4.8,7.8,3.1,0.1,70.8,4,63.4
S02284,1.5,7.9,3.4,1.2,82.6,1,42.9
S02285,2.3,6.8,3.0,1.3,71.3,1,35.3
S02286,3.7,7.7,6.2,2.0,83.8,9,57.0
S02287,4.2,7.3,3.5,0.3,83.7,8,56.9
S02288,2.6,5.3,5.5,0.9,80.4,5,29.3
S02289,2.1,6.6,5.5,1.6,85.5,2,39.9
S02290,5.1,6.3,9.7,1.1,80.9,7,43.7
S02291,5.6,6.4,5.6,0.9,83.9,1,61.3
S02292,4.5,5.4,3.4,1.4,77.4,9,57.7
S02293,3.1,8.4,2.1,0.7,99.4,1,51.8
S02294,1.8,8.9,4.4,1.4,73.9,3,47.3
S02295,1.8,8.2,4.8,0.4,87.1,6,39.0
S02296,3.8,8.5,1.0,0.2,73.1,4,75.4
S02297,3.6,6.6,3.6,0.9,76.7,2,46.6
S02298,5.1,6.2,5.6,0.0,77.7,5,54.6
S02299,4.0,6.1,3.9,1.0,83.7,10,68.5
S02300,0.7,7.8,6.9,0.1,86.8,1,6.7
S02301,4.6,7.3,1.9,1.1,73.9,1,67.4
S02302,1.5,6.9,6.4,1.1,80.9,6,39.9
S02303,2.4,8.6,6.8,1.0,75.1,9,40.1
S02304,3.4,7.5,6.9,1.2,74.6,10,34.8
S02305,6.0,6.0,1.9,1.1,96.3,7,62.1
S02306,7.7,6.2,5.6,0.9,71.1,10,66.4
S02307,3.9,7.8,3.7,1.9,85.7,4,61.5
S02308,2.7,8.3,2.2,1.2,100.0,8,43.3
S02309,3.8,7.7,4.2,1.4,97.1,1,46.3
S02310,4.3,9.3,3.2,1.5,89.3,5,62.3
S02311,2.5,9.0,6.8,1.3,84.8,2,66.6
S02312,5.7,7.5,6.0,2.0,92.4,3,59.8
S02313,3.3,6.0,2.7,1.1,88.7,10,42.2
S02314,3.7,5.4,3.6,1.0,99.2,4,54.7
S02315,4.0,6.5,4.2,0.7,83.7,1,34.9
S02316,3.6,7.9,4.9,0.9,95.0,5,45.2
S02317,4.3,9.2,7.0,0.6,81.7,10,39.5
S02318,2.1,7.5,6.4,1.3,100.0,6,40.9
S02319,2.2,8.4,5.1,0.5,83.4,1,39.7
S02320,1.3,6.7,4.5,1.0,68.8,4,48.2
S02321,3.7,7.7,1.5,1.3,85.8,2,61.4
S02322,4.2,8.0,7.6,1.1,92.6,1,51.0
S02323,3.7,4.6,4.1,0.6,100.0,5,33.3
S02324,5.5,6.5,8.1,1.3,75.0,1,49.7
S02325,3.0,8.1,5.4,1.0,67.6,8,58.2
S02326,4.0,7.3,9.1,0.0,90.0,2,34.1
S02327,1.4,5.6,6.2,0.5,89.7,5,37.1
S02328,2.4,4.1,2.1,1.7,70.9,3,27.1
S02329,4.0,6.6,3.8,1.7,81.7,6,52.0
S02330,4.3,6.9,4.7,1.3,82.2,6,61.3
S02331,2.6,5.9,3.3,1.4,93.2,8,50.5
S02332,2.9,7.2,4.2,0.6,80.9,5,38.9
S02333,0.7,7.6,2.3,0.9,80.6,5,34.8
S02334,2.5,7.8,5.0,1.6,86.1,5,46.9
S02335,4.3,4.2,5.5,1.2,71.2,9,59.2
S02336,3.9,5.4,3.0,1.0,100.0,2,65.2
S02337,3.8,6.6,8.9,0.9,94.3,3,52.5
S02338,3.1,7.7,5.1,1.6,78.0,4,58.3
S02339,3.0,7.6,3.4,1.6,73.8,7,39.9
S02340,2.0,7.6,1.7,1.3,74.6,10,61.7
S02341,4.0,6.5,5.1,1.0,90.9,1,39.2
S02342,3.6,6.6,4.5,0.8,74.9,3,38.8
S02343,3.7,6.1,6.6,1.3,82.5,10,48.4
S02344,2.2,7.9,4.7,0.4,68.1,7,44.4
S02345,0.0,5.9,2.6,0.6,90.4,8,29.6
S02346,4.6,8.0,8.3,0.3,90.8,2,39.4
S02347,2.3,7.2,5.9,1.6,83.2,3,38.5
S02348,1.7,6.9,4.5,0.6,86.9,7,27.1
S02349,4.0,6.2,5.3,1.2,93.0,7,60.1
S02350,2.4,5.4,5.9,0.9,86.7,3,16.4
S02351,4.6,6.2,2.1,2.4,92.8,10,67.2
S02352,3.9,6.6,5.3,1.2,73.3,5,45.6
S02353,4.0,4.2,4.1,0.1,88.8,7,29.1
S02354,1.0,6.8,6.0,1.6,86.9,3,38.4
S02355,4.8,8.1,3.5,0.8,97.0,8,70.9
S02356,3.4,7.7,3.8,0.9,85.3,4,50.4
S02357,2.4,6.4,8.3,0.7,84.0,7,47.4
S02358,3.2,7.1,7.5,1.1,79.4,2,35.9
S02359,0.3,6.3,1.0,1.1,99.9,5,48.7
S02360,3.6,7.2,7.3,0.7,61.4,6,55.9
S02361,1.5,8.8,4.9,0.7,90.1,1,27.4
S02362,1.0,8.2,3.6,1.1,84.8,9,65.1
S02363,0.7,7.6,3.0,0.0,83.2,9,40.1
S02364,4.7,6.4,3.1,0.3,81.7,4,60.3
S02365,2.1,7.9,3.6,1.8,84.4,5,36.4
S02366,5.3,5.0,2.7,1.2,89.8,9,74.6
S02367,2.2,6.7,2.3,0.7,77.0,10,45.1
S02368,0.4,7.7,2.9,0.2,86.4,2,30.6
S02369,1.3,7.9,5.6,1.0,88.5,5,40.9
S02370,4.9,7.8,5.1,1.5,75.5,4,57.9
S02371,2.8,7.4,6.1,2.3,90.0,2,51.7
S02372,2.2,6.8,4.9,1.9,88.6,2,32.5
S02373,3.2,7.6,2.4,0.6,77.0,9,65.8
S02374,3.8,5.9,6.0,0.8,73.1,10,58.1
S02375,4.7,6.0,3.0,0.3,76.9,8,58.3
S02376,5.2,7.1,6.3,0.6,86.4,10,62.6
S02377,2.5,7.2,2.7,0.9,84.2,10,37.9
S02378,1.0,4.8,3.6,0.8,98.9,8,19.5
S02379,2.4,7.5,4.3,2.0,81.3,8,47.9
S02380,3.4,7.9,6.3,0.3,76.1,5,38.8
S02381,1.6,6.9,5.4,1.0,91.6,4,9.5
S02382,1.6,9.8,5.0,0.0,75.2,10,52.1
S02383,3.5,6.2,8.8,1.2,77.1,3,53.9
S02384,2.9,6.6,1.3,0.3,77.2,2,54.0
S02385,3.0,6.5,2.9,1.6,55.0,10,49.1
S02386,1.9,6.9,2.8,0.9,90.7,5,54.8
S02387,2.7,6.6,1.5,0.3,94.4,8,52.8
S02388,1.6,5.3,3.6,0.0,94.2,5,25.5
S02389,4.3,6.3,6.4,0.5,100.0,7,39.1
S02390,4.6,6.9,3.8,1.1,100.0,5,48.0
S02391,0.2,8.5,4.3,1.2,81.7,10,34.9
S02392,1.6,9.6,1.6,0.8,96.1,9,62.5
S02393,0.8,8.6,3.4,1.5,84.0,8,48.0
S02394,2.0,6.1,4.1,0.4,80.7,8,51.6
S02395,2.9,6.2,6.3,0.0,77.4,1,35.7
S02396,0.8,6.8,1.7,1.1,82.3,5,32.4
S02397,1.6,9.1,4.1,1.6,88.3,9,59.8
S02398,1.5,6.8,7.2,1.6,100.0,8,30.3
S02399,3.3,5.4,4.1,0.4,92.3,1,45.5
S02400,3.1,6.4,1.0,0.7,77.3,9,57.5
S02401,1.9,7.9,7.6,1.4,74.6,10,59.9
S02402,3.3,7.8,6.5,0.7,90.7,1,42.6
S02403,2.2,6.8,6.7,1.1,94.0,5,49.4
S02404,2.6,7.8,1.5,0.6,97.3,10,52.7
S02405,5.5,4.3,8.0,0.5,82.3,1,54.5
S02406,5.0,7.1,3.5,0.6,89.7,8,57.5
S02407,1.1,8.0,4.0,1.5,93.6,2,47.9
S02408,4.2,6.0,3.6,1.0,71.5,6,75.7
S02409,4.2,6.0,6.9,1.6,87.8,2,34.2
S02410,1.3,4.8,4.6,1.3,94.0,2,38.6
S02411,4.2,8.9,6.0,1.8,90.1,1,71.0
S02412,5.3,6.1,5.2,1.4,84.2,6,52.3
S02413,1.3,7.3,4.8,1.4,100.0,5,54.2
S02414,1.6,7.7,3.1,0.9,100.0,4,33.7
S02415,4.5,8.8,8.6,2.5,85.1,4,65.3
S02416,3.4,6.8,2.1,1.1,83.1,9,57.6
S02417,3.8,6.4,5.8,0.0,92.0,2,53.3
S02418,3.5,7.2,5.8,1.1,84.4,10,48.3
S02419,3.6,8.5,7.3,0.5,97.7,7,60.2
S02420,1.0,6.8,7.8,1.5,72.3,5,39.6
S02421,4.6,5.9,4.7,1.4,82.6,10,35.8
S02422,4.8,5.2,6.1,0.9,91.9,9,44.5
S02423,2.7,5.5,8.5,0.6,95.0,4,32.5
S02424,2.9,8.0,4.9,1.1,70.2,6,47.2
S02425,0.7,6.6,2.9,0.7,75.5,2,39.3
S02426,3.8,6.3,4.2,1.4,68.2,1,31.3
S02427,3.9,6.1,2.4,1.3,76.3,1,49.7
S02428,2.9,7.1,5.7,2.5,72.2,4,49.1
S02429,4.7,6.7,7.1,0.8,90.4,9,53.4
S02430,2.5,6.7,4.8,0.8,87.3,3,31.9
S02431,3.8,8.6,1.8,0.9,83.5,3,81.5
S02432,1.5,8.8,7.0,0.9,85.3,7,32.5
S02433,3.0,5.1,1.4,1.5,96.9,8,49.8
S02434,2.7,7.4,1.9,0.9,74.6,6,46.9
S02435,3.3,6.1,4.6,2.0,65.7,1,54.4
S02436,2.4,6.7,5.5,1.3,92.1,6,55.4
S02437,2.8,7.4,5.8,0.8,81.1,8,48.6
S02438,4.2,6.7,4.9,0.6,74.8,5,56.1
S02439,2.3,7.3,8.5,1.5,90.5,8,33.9
S02440,0.6,7.8,5.1,1.0,65.3,1,27.8
S02441,5.6,7.4,7.1,1.0,76.4,4,36.2
S02442,5.1,6.2,6.6,0.7,61.1,9,43.8
S02443,1.1,6.2,2.4,1.0,87.6,10,30.3
S02444,4.0,5.3,4.7,0.7,100.0,5,49.8
S02445,2.2,6.0,9.2,1.7,79.3,10,20.3
S02446,3.4,9.4,4.0,1.4,77.1,10,54.1
S02447,3.4,6.0,3.7,0.9,100.0,3,57.0
S02448,2.6,5.6,5.3,0.9,91.3,3,28.3
S02449,1.8,7.4,4.1,1.0,100.0,9,33.5
S02450,2.0,6.9,3.4,1.0,86.6,1,59.3
S02451,1.6,6.8,4.0,0.5,87.3,6,56.9
S02452,1.8,8.7,7.9,0.0,99.4,6,38.0
S02453,2.9,7.7,4.7,0.6,83.5,10,56.8
S02454,1.9,6.4,2.3,0.9,87.5,8,49.3
S02455,4.0,6.5,2.0,0.6,60.8,8,60.7
S02456,5.2,6.4,9.4,1.4,100.0,1,44.7
S02457,2.1,8.0,4.6,0.9,88.9,7,48.4
S02458,3.4,6.6,5.9,1.9,83.9,10,50.2
S02459,3.7,4.8,3.5,0.7,94.1,1,48.3
S02460,3.7,6.9,5.6,1.1,73.2,8,50.3
S02461,3.1,5.2,7.9,0.9,79.5,5,37.2
S02462,4.1,9.6,3.7,1.2,90.5,2,60.0
S02463,3.7,5.8,5.9,1.5,85.4,3,38.6
S02464,1.1,6.8,2.2,1.3,89.5,9,50.1
S02465,4.3,7.3,9.0,0.0,87.5,2,44.1
S02466,4.3,6.7,5.5,1.2,91.3,4,46.4
S02467,1.9,6.7,4.2,0.5,71.8,7,61.7
S02468,3.1,7.5,4.4,0.8,97.8,8,71.2
S02469,4.0,8.8,4.0,1.3,80.2,3,49.3
S02470,2.7,7.9,4.1,0.4,85.6,10,47.2
S02471,4.6,8.8,1.0,1.6,79.0,10,85.2
S02472,6.5,5.7,4.8,0.8,82.1,9,53.8
S02473,1.8,7.4,4.7,2.1,87.3,8,36.7
S02474,0.9,7.2,6.0,1.0,92.4,6,35.3
S02475,3.5,7.4,4.0,1.9,94.0,8,61.4
S02476,4.1,8.7,3.5,1.6,89.3,10,54.5
S02477,2.7,6.7,5.0,0.7,79.0,8,51.3
S02478,5.2,6.5,1.8,0.3,88.7,3,76.0
S02479,1.0,7.6,5.3,1.1,87.4,7,29.5
S02480,4.0,4.9,1.3,0.7,85.6,8,46.2
S02481,2.1,6.7,7.2,1.8,90.3,6,44.1
S02482,5.6,6.8,6.4,0.9,72.2,6,51.5
S02483,6.0,5.9,3.1,0.8,64.7,7,41.3
S02484,1.9,8.3,6.3,0.3,96.9,4,39.9
S02485,2.2,5.7,5.2,1.2,83.7,10,35.0
S02486,4.3,6.8,3.0,0.4,89.2,10,47.1
S02487,2.4,7.4,1.0,1.2,76.3,9,61.7
S02488,2.9,8.6,5.6,1.3,97.6,3,49.4
S02489,3.0,7.0,3.4,0.6,88.5,7,59.4
S02490,0.1,8.1,7.2,1.5,83.2,9,12.0
S02491,3.0,7.8,5.0,0.9,87.9,8,27.5
S02492,2.0,7.1,3.6,0.3,67.6,7,49.3
S02493,2.3,5.7,8.6,1.8,88.7,5,17.9
S02494,5.2,5.3,6.2,0.5,99.9,2,37.6
S02495,1.1,7.1,1.0,1.3,88.2,2,33.5
S02496,4.2,6.3,4.0,1.2,86.9,4,69.7
S02497,2.6,8.1,2.2,1.2,81.8,5,60.2
S02498,2.6,7.9,3.4,1.2,95.8,4,33.7
S02499,4.2,6.8,4.7,0.5,97.3,2,48.4
S02500,3.5,5.6,5.7,1.8,80.7,4,42.7
S02501,3.9,7.6,5.5,1.5,88.6,5,41.4
S02502,4.5,5.8,7.2,1.2,87.3,4,43.0
S02503,2.5,6.1,6.3,0.3,89.0,6,27.8
S02504,2.1,5.8,6.1,0.5,77.3,10,48.6
S02505,1.4,6.8,5.4,1.3,96.4,7,35.5
S02506,1.8,8.4,7.6,0.0,90.7,5,22.9
S02507,7.4,7.0,4.4,1.2,97.0,9,75.3
S02508,4.9,6.5,4.4,0.3,73.8,4,58.3
S02509,1.0,5.2,1.2,0.6,74.4,10,28.1
S02510,1.0,7.7,7.1,0.3,100.0,2,37.2
S02511,3.7,6.1,4.8,1.1,96.5,10,49.2
S02512,3.8,7.1,10.9,1.6,76.8,8,36.1
S02513,3.8,6.6,4.2,1.2,93.7,4,48.5
S02514,2.6,8.0,5.2,1.2,80.3,4,46.4
S02515,2.8,6.8,6.1,1.1,68.0,3,12.9
S02516,3.5,6.9,2.8,1.3,64.0,9,51.8
S02517,3.1,7.6,5.7,1.2,84.8,4,56.7
S02518,0.0,9.5,5.1,0.0,100.0,2,33.3
S02519,2.7,8.1,4.4,1.5,100.0,1,60.0
S02520,1.7,6.9,7.3,1.4,97.6,1,22.3
S02521,3.3,7.0,3.2,0.8,93.3,8,36.6
S02522,7.5,6.4,5.5,0.0,88.2,1,52.1
S02523,3.6,5.9,7.9,1.1,96.5,5,42.4
S02524,2.5,6.3,3.6,1.2,64.9,8,47.5
S02525,4.4,6.1,4.4,0.8,94.9,7,40.1
S02526,3.7,7.8,9.7,1.1,73.8,7,46.0
S02527,3.6,5.7,5.9,1.5,75.9,8,41.5
